"","Year","casualties","Traffic.km"
"1",1950,201.325,73
"2",1951,216.493,79.7
"3",1952,208.012,83.73
"4",1953,226.77,85.63
"5",1954,238.281,88.51
"6",1955,267.922,95.2
"7",1956,267.96,97.1
"8",1957,273.858,96.41
"9",1958,299.767,107.17
"10",1959,333.453,117.79
"11",1960,347.551,124.36
"12",1961,349.767,133.31
"13",1962,341.696,137.69
"14",1963,356.179,144.52
"15",1964,385.499,160.31
"16",1965,397.937,169.7
"17",1966,392.457,179.1
"18",1967,369.978,185.52
"19",1968,349.208,192.67
"20",1969,352.894,197.19
"21",1970,363.368,204.82
"22",1971,352.027,216.22
"23",1972,359.727,226.43
"24",1973,353.78,237.75
"25",1974,324.602,233.61
"26",1975,324.95,236.16
"27",1976,339.673,248.48
"28",1977,348.061,252.99
"29",1978,349.795,261.6
"30",1979,334.513,260.45
"31",1980,328.6,277.02
"32",1981,324.84,282.35
"33",1982,334.296,290.85
"34",1983,308.584,294.44
"35",1984,324.314,309.47
"36",1985,317.524,315.73
"37",1986,321.451,330.76
"38",1987,311.473,356.2
"39",1988,322.305,380.93
"40",1989,341.592,412.09
"41",1990,341.141,416.09
"42",1991,311.269,416.748
"43",1992,310.673,416.8
"44",1993,306,416.2
"45",1994,315,425.572
"46",1995,310.506,433.878
"47",1996,321,445.213
"48",1997,328,454.421
"49",1998,325,462
"50",1999,320,471.2
"51",2000,320,471
"52",2001,313,479
"53",2002,303,491
"54",2003,291,495
"55",2004,281,502
