"","Year","Distance"
"1",1960,2374.315541877
"2",1961,2523.86415700173
"3",1962,2585.53348105307
"4",1963,2694.60212573753
"5",1964,2969.30718789606
"6",1965,3123.32485937446
"7",1966,3277.30861780287
"8",1967,3376.55341113433
"9",1968,3489.65889476325
"10",1969,3556.70591206086
"11",1970,3679.62704297719
"12",1971,3868.23989878529
"13",1972,4037.18820352257
"14",1973,4230.83906374014
"15",1974,4154.5457588154
"16",1975,4200.20702239897
"17",1976,4420.41097013362
"18",1977,4502.12277250896
"19",1978,4655.09384711903
"20",1979,4630.47321445033
"21",1980,4919.1841718972
"22",1981,5012.08607708878
"23",1982,5164.82320864318
"24",1983,5226.79059294144
"25",1984,5484.91023158455
"26",1985,5583.17424773301
"27",1986,5835.42437804461
"28",1987,6270.90043405124
"29",1988,6691.3963587934
"30",1989,7219.93248699982
"31",1990,7268.25407101009
"32",1991,7257.27030907866
"33",1992,7238.57398564185
"34",1993,7210.84536090905
"35",1994,7354.47197646898
"36",1995,7478.20154869876
"37",1996,7654.05440718484
"38",1997,7792.26226390356
"39",1998,7899.17223001206
"40",1999,8029.65574077954
"41",2000,7997.6208860773
"42",2001,8103.71578715663
"43",2002,8276.0725191613
"44",2003,8309.7225298032
