"","age","gender","handedness","lkm","pleasure","disgust","anger","fear","sadness","surprise"
"1",23,"female","left",2,9,1,1,1,1,2
"2",20,"female","left",2,8,2,1,2,3,1
"3",20,"female","right",1,2,1,1,1,1,1
"4",21,"male","right",3,6,2,1,1,1,3
"5",20,"female","left",1,8,1,2,2,3,2
"6",21,"male","right",3,8,2,1,3,2,2
"7",30,"male","right",1,6,1,1,3,3,5
"8",19,"female","right",1,8,1,1,5,9,3
"9",19,"female","right",1,8,1,2,7,9,4
"10",21,"female","right",1,5,2,3,4,4,2
"11",19,"female","right",1,7,1,1,2,1,2
"12",21,"female","right",2,9,1,1,2,2,2
"13",19,"male","right",2,7,2,1,1,2,8
"14",25,"female","right",2,8,1,1,2,2,3
"15",25,"male","right",2,8,2,4,6,8,5
"16",20,"female","left",1,5,2,2,3,4,1
"17",21,"female","right",3,9,1,1,3,0,4
"18",20,"female","right",1,8,1,1,2,1,1
